abandon	bỏ rơi
prime	thủy
primitive	nguyên thủy
prince	hoàng tử
princess	công chúa
principle	nguyên tắc
print	in
prior	trước
priority	ưu tiên
prison	nhà tù
private	riêng tư
prize	giải thưởng
probable	có thể
problem	vấn đề
proceed	tiếp tục
process	quá trình
produce	sản xuất
product	sản phẩm
professor	giáo sư
profit	lợi nhuận
program	chương trình
progress	tiến triển
project	dự án
promise	hứa
promote	thúc đẩy
prompt	nhanh chóng
pronounce	phát âm
proof	bằng chứng
propose	đề xuất
prospect	triển vọng
protect	bảo vệ
protest	phản đối
proud	tự hào
prove	chứng minh
provide	cung cấp
public	công cộng
push	đẩy vào, thêm vào
quaint	kỳ cục
quantity	lượng
quarantine	cách ly
quarter	phần tư
quasar	ngôi sao quasar
quasar	ngôi sao quasar
quasi-guarantee	bảo đảm giả tưởng
quasi-guarantee	bảo đảm giả tưởng
quasi-intelligence	thông minh giả tưởng
quasi-intelligence	thông minh giả tưởng
quasi-military	quân sự giả tưởng
quasi-military	quân sự giả tưởng
quasi-unanimous	đồng lòng giả tưởng
quasi-unanimous	đồng lòng giả tưởng
quay	quay
quay	quay
queasy	dễ buồn nôn
queasy	dễ buồn nôn
queen	nữ hoàng
queenless	không có nữ hoàng
queenless	không có nữ hoàng
quell	kìm chế
quell	kìm chế
quench	dập tắt
quench	dập tắt
queried	đặt câu hỏi
query	câu hỏi
query	câu hỏi
quest	cuộc tìm kiếm
quest	cuộc tìm kiếm
quest	cuộc tìm kiếm
question	câu hỏi
question	câu hỏi
question	câu hỏi
questionable	đáng nghi
queue	hàng đợi
quiche	bánh quiche
quiche	bánh quiche
quick	nhanh chóng
quick	nhanh chóng
quick	nhanh
quicken	làm nhanh
quiet	yên tĩnh
quiet	yên tĩnh
quiet	yên tĩnh
quill	ngòi bút lông vịt
quilt	chăn
quince	mâm xôi
quit	bỏ
quit	bỏ
quiver	run rẩy
quiver	run rẩy
quiver	run rẩy
quiz	bài kiểm tra
quiz	bài kiểm tra
quiz	bài kiểm tra
quizlet	câu hỏi nhỏ
quizlet	câu hỏi nhỏ
quota	hạn ngạch
quota	hạn ngạch
quota	hạn ngạch
quotation	dòng trích dẫn
quotation	dòng trích dẫn
quotation	dòng trích dẫn
quote	trích dẫn
quote	trích dẫn
quote	trích dẫn
rabbit	con thỏ
race	cuộc đua
rack	kệ đựng
radiant	tươi sáng
radiate	tỏa ra
radical	cơ bản
radio	đài phát thanh
raffle	xổ số
rag	cục vải
rage	thịnh nộ
raid	cuộc tấn công
rail	đường ray
rain	mưa
raise	nâng lên
rally	tập hợp
ram	thuỷ tinh
random	ngẫu nhiên
range	phạm vi
rank	xếp hạng
rapid	nhanh chóng
rare	hiếm
rat	con chuột
rate	tỷ lệ
rather	hơn là
ratio	tỷ lệ
rational	hợp lý
rattle	kêu lạch cạch
raw	sống
reach	đạt đến
react	phản ứng
read	đọc
ready	sẵn sàng
real	thực tế
reality	thực tế
realize	nhận ra
really	thực sự
reason	lý do
rebel	nổi loạn
rebuild	xây dựng lại
recall	nhớ lại
receive	nhận
recent	gần đây
recipe	công thức
reckless	liều lĩnh
recommend	đề xuất
record	ghi chép
recover	phục hồi
red	đỏ
reduce	giảm
refer	tham khảo
reflect	phản ánh
reform	cải cách
refuge	nơi trú ẩn
refuse	từ chối
regard	xem xét
region	vùng
regret	hối hận
regular	thường xuyên
reign	triều đại
reject	từ chối
relation	mối quan hệ
relative	họ hàng
relax	nghỉ ngơi
release	phát hành
relief	sự giảm nhẹ
relieve	giảm bớt
religion	tôn giáo
rely	tin cậy
remain	ở lại
remark	ghi chú
remember	nhớ lại
remind	nhắc nhở
remove	loại bỏ
render	hiển thị
renew	làm mới
rent	thuê
repair	sửa chữa
repeat	lặp lại
replace	thay thế
reply	trả lời
report	báo cáo
represent	đại diện
republic	cộng hòa
reputation	danh tiếng
request	yêu cầu
require	đòi hỏi
rescue	cứu hộ
research	nghiên cứu
resemble	giống nhau
reserve	dự trữ
reside	cư trú
resign	từ chức
resist	chống lại
resolve	giải quyết
resort	khu nghỉ dưỡng
resource	nguồn lực
respect	tôn trọng
respond	phản ứng
rest	nghỉ ngơi
restaurant	nhà hàng
restore	khôi phục
restrict	hạn chế
result	kết quả
resume	tiếp tục
retain	giữ lại
retire	nghỉ hưu
return	trở lại
reveal	tiết lộ
review	xem xét
revise	xem xét lại
revolution	cách mạng
reward	thưởng
rhetoric	hùng biện
rhyme	vần
rhythm	nhịp
rice	cơm
rich	giàu có
ride	cưỡi
ridge	đỉnh núi
rifle	súng trường
right	đúng
rigid	cứng nhắc
rim	mép
ring	nhẫn
rise	đứng lên
risk	rủi ro
ritual	nghi thức
rival	đối thủ
river	sông
road	đường
rubber	cục tẩy
zebra	Con ngựa vằn
zodiac	cung hoàng đạo
zoo	Sở thú
apple	Quả táo
